
2025-11-05T19:21:37.866396,KO,68.47,68.73,68.16,68.66,12743781,2025-11-04,67.97,0.69,1.0152%
2025-11-05T19:32:02.574084,AAPL,268.325,271.486,267.615,270.04,49274846,2025-11-04,269.05,0.99,0.3680%
2025-11-05T19:32:02.725567,MSFT,511.76,515.55,507.84,514.33,20958663,2025-11-04,517.03,-2.7,-0.5222%
2025-11-05T19:32:02.886007,GOOG,277.065,281.8336,276.865,278.06,18123709,2025-11-04,284.12,-6.06,-2.1329%
2025-11-05T19:32:03.030613,NVDA,203.0,203.9699,197.93,198.69,188919320,2025-11-04,206.88,-8.19,-3.9588%
2025-11-05T19:32:03.174873,IBM,300.0,303.17,296.0,300.85,5677330,2025-11-04,304.73,-3.88,-1.2733%
2025-11-05T19:32:03.332589,TSLA,454.46,460.22,443.6,444.26,87756644,2025-11-04,468.37,-24.11,-5.1476%
2025-11-05T19:32:03.476852,AMZN,250.38,257.01,248.66,249.32,51546311,2025-11-04,254.0,-4.68,-1.8425%
2025-11-05T19:32:03.629992,META,628.035,641.7399,626.01,627.32,27356553,2025-11-04,637.71,-10.39,-1.6293%
2025-11-05T19:32:03.779678,ORCL,249.98,255.28,245.185,248.17,19772593,2025-11-04,257.85,-9.68,-3.7541%
2025-11-05T19:32:03.926991,KO,68.47,68.73,68.16,68.66,12743781,2025-11-04,67.97,0.69,1.0152%
2025-11-05T19:42:38.445478,AAPL,268.325,271.486,267.615,270.04,49274846,2025-11-04,269.05,0.99,0.3680%
2025-11-05T19:42:38.529970,MSFT,511.76,515.55,507.84,514.33,20958663,2025-11-04,517.03,-2.7,-0.5222%
2025-11-05T19:42:38.609875,GOOG,277.065,281.8336,276.865,278.06,18123709,2025-11-04,284.12,-6.06,-2.1329%
2025-11-05T19:42:38.687077,NVDA,203.0,203.9699,197.93,198.69,188919320,2025-11-04,206.88,-8.19,-3.9588%
2025-11-05T19:42:38.773526,IBM,300.0,303.17,296.0,300.85,5677330,2025-11-04,304.73,-3.88,-1.2733%
2025-11-05T19:42:38.857308,TSLA,454.46,460.22,443.6,444.26,87756644,2025-11-04,468.37,-24.11,-5.1476%
2025-11-05T19:42:38.952383,AMZN,250.38,257.01,248.66,249.32,51546311,2025-11-04,254.0,-4.68,-1.8425%
2025-11-05T19:42:39.043617,META,628.035,641.7399,626.01,627.32,27356553,2025-11-04,637.71,-10.39,-1.6293%
2025-11-05T19:42:39.132913,ORCL,249.98,255.28,245.185,248.17,19772593,2025-11-04,257.85,-9.68,-3.7541%
2025-11-05T19:42:39.221866,KO,68.47,68.73,68.16,68.66,12743781,2025-11-04,67.97,0.69,1.0152%
2025-11-05T19:52:32.769916,AAPL,268.325,271.486,267.615,270.04,49274846,2025-11-04,269.05,0.99,0.3680%
2025-11-05T19:52:32.879887,MSFT,511.76,515.55,507.84,514.33,20958663,2025-11-04,517.03,-2.7,-0.5222%
2025-11-05T19:52:33.009023,GOOG,277.065,281.8336,276.865,278.06,18123709,2025-11-04,284.12,-6.06,-2.1329%
2025-11-05T19:52:33.131985,NVDA,203.0,203.9699,197.93,198.69,188919320,2025-11-04,206.88,-8.19,-3.9588%
2025-11-05T19:52:33.242176,IBM,300.0,303.17,296.0,300.85,5677330,2025-11-04,304.73,-3.88,-1.2733%
2025-11-05T19:52:33.435244,TSLA,454.46,460.22,443.6,444.26,87756644,2025-11-04,468.37,-24.11,-5.1476%
2025-11-05T19:52:33.659529,AMZN,250.38,257.01,248.66,249.32,51546311,2025-11-04,254.0,-4.68,-1.8425%
2025-11-05T19:52:33.845817,META,628.035,641.7399,626.01,627.32,27356553,2025-11-04,637.71,-10.39,-1.6293%
2025-11-05T19:52:33.981553,ORCL,249.98,255.28,245.185,248.17,19772593,2025-11-04,257.85,-9.68,-3.7541%
